Platform,Commission,Cookie,Notes
Taskade AI Agents,Up to 50% lifetime recurring,90 days,Broad AI-agent + workflow automation
Botpress,30% recurring,90 days,Custom AI assistants / conversational agents
Chatbase,Up to 30% recurring (12 mo),,No-code AI agents trained on own data
Relevance AI,20% recurring (12 mo),60 days,"Multi-agent AI workforce, enterprise"
AgentWorks,15% recurring (12 mo),90 days,Business sales/support automation
Manus,10% on subscriptions,,General-purpose autonomous agent
Tidio AI (Lyro),Up to $2000 per referral,30 days,Customer support agent
Synthflow AI,Recurring (rate on application),,No-code AI voice agents
Dynamiq,50% of referred payments (1 yr),,For those building AI agents for clients
FlowGent,20% lifetime recurring,,AI agent subscriptions
AI Agent Store,30% eligible products (10% Agent Teams),,Agent Teams / paid products
